Date,Open,High,Low,Close,Adj Close,Volume
2023-10-27,18928.750000,19076.150391,18926.650391,19047.250000,19047.250000,205200
2023-10-30,19053.400391,19158.500000,18940.000000,19140.900391,19140.900391,180100
2023-10-31,19232.949219,19233.699219,19056.449219,19079.599609,19079.599609,206000
2023-11-01,19064.050781,19096.050781,18973.699219,18989.150391,18989.150391,194100
2023-11-02,19120.000000,19175.250000,19064.150391,19133.250000,19133.250000,245600
2023-11-03,19241.000000,19276.250000,19210.900391,19230.599609,19230.599609,189500
2023-11-06,19345.849609,19423.000000,19309.699219,19411.750000,19411.750000,180700
2023-11-07,19404.050781,19423.500000,19329.099609,19406.699219,19406.699219,198700
2023-11-08,19449.599609,19464.400391,19401.500000,19443.500000,19443.500000,195000
2023-11-09,19457.400391,19463.900391,19378.349609,19395.300781,19395.300781,208400
2023-11-10,19351.849609,19451.300781,19329.449219,19425.349609,19425.349609,152200
2023-11-13,19486.750000,19494.400391,19414.750000,19443.550781,19443.550781,189300
2023-11-15,19651.400391,19693.199219,19579.650391,19675.449219,19675.449219,291500
2023-11-16,19674.699219,19875.250000,19627.000000,19765.199219,19765.199219,282700
2023-11-17,19674.750000,19806.000000,19667.449219,19731.800781,19731.800781,236800
2023-11-20,19731.150391,19756.449219,19670.500000,19694.000000,19694.000000,173800
2023-11-21,19770.900391,19829.099609,19754.050781,19783.400391,19783.400391,195000
2023-11-22,19784.000000,19825.550781,19703.849609,19811.849609,19811.849609,184500
2023-11-23,19828.449219,19875.150391,19786.750000,19802.000000,19802.000000,170000
2023-11-24,19809.599609,19832.849609,19768.849609,19794.699219,19794.699219,145900
2023-11-28,19844.650391,19916.849609,19800.000000,19889.699219,19889.699219,229600
2023-11-29,19976.550781,20104.650391,19956.300781,20096.599609,20096.599609,236200
2023-11-30,20108.500000,20158.699219,20015.849609,20133.150391,20133.150391,486600
2023-12-01,20194.099609,20291.550781,20183.699219,20267.900391,20267.900391,265800
2023-12-04,20601.949219,20702.650391,20507.750000,20686.800781,20686.800781,381100
2023-12-05,20808.900391,20864.050781,20711.150391,20855.099609,20855.099609,421000
2023-12-06,20950.750000,20961.949219,20852.150391,20937.699219,20937.699219,359200
2023-12-07,20932.400391,20941.250000,20850.800781,20901.150391,20901.150391,275000
2023-12-08,20934.099609,21006.099609,20862.699219,20969.400391,20969.400391,292400
2023-12-11,20965.300781,21026.099609,20923.699219,20997.099609,20997.099609,212900
2023-12-12,21018.550781,21037.900391,20867.150391,20906.400391,20906.400391,244900
2023-12-13,20929.750000,20950.000000,20769.500000,20926.349609,20926.349609,260300
2023-12-14,21110.400391,21210.900391,21074.449219,21182.699219,21182.699219,334400
2023-12-15,21287.449219,21492.300781,21235.300781,21456.650391,21456.650391,508800
2023-12-18,21434.800781,21482.800781,21365.349609,21418.650391,21418.650391,249700
2023-12-19,21477.650391,21505.050781,21337.750000,21453.099609,21453.099609,249800
2023-12-20,21543.500000,21593.000000,21087.349609,21150.150391,21150.150391,363900
2023-12-21,21033.949219,21288.349609,20976.800781,21255.050781,21255.050781,277500
2023-12-22,21295.849609,21390.500000,21232.449219,21349.400391,21349.400391,284700
2023-12-26,21365.199219,21477.150391,21329.449219,21441.349609,21441.349609,219500
2023-12-27,21497.650391,21675.750000,21495.800781,21654.750000,21654.750000,256500
2023-12-28,21715.000000,21801.449219,21678.000000,21778.699219,21778.699219,393100
2023-12-29,21737.650391,21770.300781,21676.900391,21731.400391,21731.400391,270900
2024-01-01,21727.750000,21834.349609,21680.849609,21741.900391,21741.900391,154000
2024-01-02,21751.349609,21755.599609,21555.650391,21665.800781,21665.800781,263700
2024-01-03,21661.099609,21677.000000,21500.349609,21517.349609,21517.349609,311900
2024-01-04,21605.800781,21685.650391,21564.550781,21658.599609,21658.599609,339200
2024-01-05,21705.750000,21749.599609,21629.199219,21710.800781,21710.800781,309300
2024-01-08,21747.599609,21763.949219,21492.900391,21513.000000,21513.000000,231500
2024-01-09,21653.599609,21724.449219,21517.849609,21544.849609,21544.849609,228600
2024-01-10,21529.300781,21641.849609,21448.650391,21618.699219,21618.699219,217000
2024-01-11,21688.000000,21726.500000,21593.750000,21647.199219,21647.199219,212500
2024-01-12,21773.550781,21928.250000,21715.150391,21894.550781,21894.550781,294700
2024-01-15,22053.150391,22115.550781,21963.550781,22097.449219,22097.449219,345500
2024-01-16,22080.500000,22124.150391,21969.800781,22032.300781,22032.300781,292400
2024-01-17,21647.250000,21851.500000,21550.449219,21571.949219,21571.949219,456000
2024-01-18,21414.199219,21539.400391,21285.550781,21462.250000,21462.250000,387300
2024-01-19,21615.199219,21670.599609,21575.000000,21622.400391,21622.400391,343100
2024-01-23,21716.699219,21750.250000,21192.599609,21238.800781,21238.800781,449700
2024-01-24,21185.250000,21482.349609,21137.199219,21453.949219,21453.949219,407500
2024-01-25,21454.599609,21459.000000,21247.050781,21352.599609,21352.599609,418100
2024-01-29,21433.099609,21763.250000,21429.599609,21737.599609,21737.599609,376700
2024-01-30,21775.750000,21813.050781,21501.800781,21522.099609,21522.099609,375100
2024-01-31,21487.250000,21741.349609,21448.849609,21725.699219,21725.699219,410600
2024-02-01,21780.650391,21832.949219,21658.750000,21697.449219,21697.449219,332500
2024-02-02,21812.750000,22126.800781,21805.550781,21853.800781,21853.800781,442800
2024-02-05,21921.050781,21964.300781,21726.949219,21771.699219,21771.699219,440800
2024-02-06,21825.199219,21951.400391,21737.550781,21929.400391,21929.400391,371000
2024-02-07,22045.050781,22053.300781,21860.150391,21930.500000,21930.500000,346300
2024-02-08,22009.650391,22011.050781,21665.300781,21717.949219,21717.949219,491100
2024-02-09,21727.000000,21804.449219,21629.900391,21782.500000,21782.500000,349200
2024-02-12,21800.800781,21831.699219,21574.750000,21616.050781,21616.050781,287400
2024-02-13,21664.300781,21766.800781,21543.349609,21743.250000,21743.250000,365800
2024-02-14,21578.150391,21870.849609,21530.199219,21840.050781,21840.050781,359100
2024-02-15,21906.550781,21953.849609,21794.800781,21910.750000,21910.750000,345400
2024-02-16,22020.300781,22068.650391,21968.949219,22040.699219,22040.699219,343900
2024-02-19,22103.449219,22186.650391,22021.050781,22122.250000,22122.250000,0
2024-02-20,22099.199219,22215.599609,22045.849609,22196.949219,22196.949219,295700
2024-02-21,22248.849609,22249.400391,21997.949219,22055.050781,22055.050781,364500
2024-02-22,22081.550781,22252.500000,21875.250000,22217.449219,22217.449219,343500
2024-02-23,22290.000000,22297.500000,22186.099609,22212.699219,22212.699219,226000
2024-02-26,22169.199219,22202.150391,22075.150391,22122.050781,22122.050781,207800
2024-02-27,22090.199219,22218.250000,22085.650391,22198.349609,22198.349609,252200
2024-02-28,22214.099609,22229.150391,21915.849609,21951.150391,21951.150391,203000
2024-02-29,21935.199219,22060.550781,21860.650391,21982.800781,21982.800781,360200
2024-03-01,22048.300781,22353.300781,22047.750000,22338.750000,22338.750000,351500
2024-03-04,22403.500000,22440.900391,22358.300781,22405.599609,22405.599609,298800
2024-03-05,22371.250000,22416.900391,22269.150391,22356.300781,22356.300781,296200
2024-03-06,22327.500000,22497.199219,22224.349609,22474.050781,22474.050781,312300
2024-03-07,22505.300781,22525.650391,22430.000000,22493.550781,22493.550781,379900
2024-03-11,22517.500000,22526.599609,22307.250000,22332.650391,22332.650391,277900
2024-03-12,22334.449219,22452.550781,22256.000000,22335.699219,22335.699219,299200
2024-03-13,22432.199219,22446.750000,21905.650391,21997.699219,21997.699219,493300
2024-03-14,21982.550781,22204.599609,21917.500000,22146.650391,22146.650391,426700
2024-03-15,22064.849609,22120.900391,21931.699219,22023.349609,22023.349609,661500
2024-03-18,21990.099609,22123.699219,21916.550781,22055.699219,22055.699219,356300
2024-03-19,21946.449219,21978.300781,21793.099609,21817.449219,21817.449219,344200
2024-03-20,21843.900391,21930.900391,21710.199219,21839.099609,21839.099609,312400
2024-03-21,21989.900391,22080.949219,21941.300781,22011.949219,22011.949219,353200
2024-03-22,21932.199219,22180.699219,21883.300781,22096.750000,22096.750000,388700
2024-03-26,21947.900391,22073.199219,21947.550781,22004.699219,22004.699219,328400
2024-03-27,22053.949219,22193.599609,22052.849609,22123.650391,22123.650391,409100
2024-03-28,22163.599609,22516.000000,22163.599609,22326.900391,22326.900391,410500
2024-04-01,22455.000000,22529.949219,22427.750000,22462.000000,22462.000000,0
2024-04-02,22458.800781,22497.599609,22388.150391,22453.300781,22453.300781,289500
2024-04-03,22385.699219,22521.099609,22346.500000,22434.650391,22434.650391,309600
2024-04-04,22592.099609,22619.000000,22303.800781,22514.650391,22514.650391,401000
2024-04-05,22486.400391,22537.599609,22427.599609,22513.699219,22513.699219,242200
2024-04-08,22578.349609,22697.300781,22550.349609,22666.300781,22666.300781,227600
2024-04-09,22765.099609,22768.400391,22612.250000,22642.750000,22642.750000,232400
2024-04-10,22720.250000,22775.699219,22673.699219,22753.800781,22753.800781,276800
2024-04-12,22677.400391,22726.449219,22503.750000,22519.400391,22519.400391,357200
2024-04-15,22339.050781,22427.449219,22259.550781,22272.500000,22272.500000,355500
2024-04-16,22125.300781,22213.750000,22079.449219,22147.900391,22147.900391,317300
2024-04-18,22212.349609,22326.500000,21961.699219,21995.849609,21995.849609,456900
2024-04-19,21861.500000,22179.550781,21777.650391,22147.000000,22147.000000,362500
2024-04-22,22336.900391,22375.650391,22198.150391,22336.400391,22336.400391,279300
2024-04-23,22447.050781,22447.550781,22349.449219,22368.000000,22368.000000,231500
2024-04-24,22421.550781,22476.449219,22384.000000,22402.400391,22402.400391,235900
2024-04-25,22316.900391,22625.949219,22305.250000,22570.349609,22570.349609,475000
2024-04-26,22620.400391,22620.400391,22385.550781,22419.949219,22419.949219,329900
2024-04-29,22475.550781,22655.800781,22441.900391,22643.400391,22643.400391,292000
2024-04-30,22679.650391,22783.349609,22568.400391,22604.849609,22604.849609,361900
2024-05-02,22567.849609,22710.500000,22567.849609,22648.199219,22648.199219,445900
2024-05-03,22766.349609,22794.699219,22348.050781,22475.849609,22475.849609,438100
2024-05-06,22561.599609,22588.800781,22409.449219,22442.699219,22442.699219,320300
2024-05-07,22489.750000,22499.050781,22232.050781,22302.500000,22302.500000,297800
2024-05-08,22231.199219,22368.650391,22185.199219,22302.500000,22302.500000,277400
2024-05-09,22224.800781,22307.750000,21932.400391,21957.500000,21957.500000,331300
2024-05-10,21990.949219,22131.300781,21950.300781,22055.199219,22055.199219,265800
2024-05-13,22027.949219,22131.650391,21821.050781,22104.050781,22104.050781,278200
2024-05-14,22112.900391,22270.050781,22081.250000,22217.849609,22217.849609,230200
2024-05-15,22255.599609,22297.550781,22151.750000,22200.550781,22200.550781,231900
2024-05-16,22319.199219,22432.250000,22054.550781,22403.849609,22403.849609,368900
2024-05-17,22415.250000,22502.150391,22345.650391,22466.099609,22466.099609,242700
2024-05-21,22404.550781,22591.099609,22404.550781,22529.050781,22529.050781,347600
2024-05-22,22576.599609,22629.500000,22483.150391,22597.800781,22597.800781,290300
2024-05-23,22614.099609,22993.599609,22577.449219,22967.650391,22967.650391,369800
2024-05-24,22930.750000,23026.400391,22908.000000,22957.099609,22957.099609,261900
2024-05-27,23038.949219,23110.800781,22871.199219,22932.449219,22932.449219,260000
2024-05-28,22977.150391,22998.550781,22858.500000,22888.150391,22888.150391,217900
2024-05-29,22762.750000,22825.500000,22685.449219,22704.699219,22704.699219,269900
2024-05-30,22617.449219,22705.750000,22417.000000,22488.650391,22488.650391,373400
2024-05-31,22568.099609,22653.750000,22465.099609,22530.699219,22530.699219,572100
2024-06-03,23337.900391,23338.699219,23062.300781,23263.900391,23263.900391,569400
2024-06-04,23179.500000,23179.500000,21281.449219,21884.500000,21884.500000,1006100
2024-06-05,22128.349609,22670.400391,21791.949219,22620.349609,22620.349609,638500
2024-06-06,22798.599609,22910.150391,22642.599609,22821.400391,22821.400391,480400
2024-06-07,22821.849609,23320.199219,22789.050781,23290.150391,23290.150391,473600
2024-06-10,23319.150391,23411.900391,23227.150391,23259.199219,23259.199219,304400
2024-06-11,23283.750000,23389.449219,23206.650391,23264.849609,23264.849609,305200
2024-06-12,23344.449219,23441.949219,23295.949219,23322.949219,23322.949219,295600
2024-06-13,23480.949219,23481.050781,23353.900391,23398.900391,23398.900391,268300
2024-06-14,23464.949219,23490.400391,23334.250000,23465.599609,23465.599609,223100
2024-06-18,23570.800781,23579.050781,23499.699219,23557.900391,23557.900391,272200
2024-06-19,23629.849609,23664.000000,23412.900391,23516.000000,23516.000000,328800
2024-06-20,23586.150391,23624.000000,23442.599609,23567.000000,23567.000000,280300
2024-06-21,23661.150391,23667.099609,23398.199219,23501.099609,23501.099609,609900
2024-06-24,23382.300781,23558.099609,23350.000000,23537.849609,23537.849609,239400
2024-06-25,23577.099609,23754.150391,23562.050781,23721.300781,23721.300781,298100
2024-06-26,23723.099609,23889.900391,23670.449219,23868.800781,23868.800781,287800
2024-06-27,23881.550781,24087.449219,23805.400391,24044.500000,24044.500000,515200
2024-06-28,24085.900391,24174.000000,23985.800781,24010.599609,24010.599609,354800
2024-07-01,23992.949219,24164.000000,23992.699219,24141.949219,24141.949219,0
2024-07-02,24228.750000,24236.349609,24056.400391,24123.849609,24123.849609,0
2024-07-03,24291.750000,24309.150391,24207.099609,24286.500000,24286.500000,0
2024-07-04,24369.949219,24401.000000,24281.000000,24302.150391,24302.150391,251200
2024-07-05,24213.349609,24363.000000,24168.849609,24323.849609,24323.849609,298400
2024-07-08,24329.449219,24344.599609,24240.550781,24320.550781,24320.550781,266300
2024-07-09,24351.000000,24443.599609,24331.900391,24433.199219,24433.199219,250500
2024-07-10,24459.849609,24461.050781,24141.800781,24324.449219,24324.449219,292300
2024-07-11,24396.550781,24402.650391,24193.750000,24315.949219,24315.949219,306400
2024-07-12,24387.949219,24592.199219,24331.150391,24502.150391,24502.150391,325800
2024-07-15,24587.599609,24635.050781,24522.750000,24586.699219,24586.699219,305400
2024-07-16,24615.900391,24661.250000,24587.650391,24613.000000,24613.000000,283200
2024-07-18,24543.800781,24837.750000,24504.449219,24800.849609,24800.849609,350900
2024-07-19,24853.800781,24854.800781,24508.150391,24530.900391,24530.900391,343800
2024-07-22,24445.750000,24595.199219,24362.300781,24509.250000,24509.250000,324200
2024-07-23,24568.900391,24582.550781,24074.199219,24479.050781,24479.050781,436400
2024-07-24,24444.949219,24504.250000,24307.250000,24413.500000,24413.500000,366600
2024-07-25,24230.949219,24426.150391,24210.800781,24406.099609,24406.099609,391800
2024-07-26,24423.349609,24861.150391,24410.900391,24834.849609,24834.849609,383800
2024-07-29,24943.300781,24999.750000,24774.599609,24836.099609,24836.099609,355000
2024-07-30,24839.400391,24971.750000,24798.650391,24857.300781,24857.300781,385000
2024-07-31,24886.699219,24984.599609,24856.500000,24951.150391,24951.150391,333600
2024-08-01,25030.949219,25078.300781,24956.400391,25010.900391,25010.900391,431300
